product_id,product_name,price
212,Թունա Ռոլ,3000
213,Թունայով Աղցան,2750
214,Թուրինջի Ֆռեշ,1300
215,Թռչնի Կաթ,750
216,Թփով Դոլմա,2530
217,Ժառկո Խոզի Մսով,2625
218,Ժենգյալ Կաթնաշոռով,600
219,Ժենգյալով Հաց,800
220,Ժենգյալով Հաց Պանրով,1000
221,Ժենգյալով Հաց Փոքր,400
222,Ժուլյեն ,2090
223,Իմամ Բայալդի,942.86
224,Իմբիրի Տաք Թեյ,1100
225,Իմերիթական,2000
226,Իմերիթական Խաչապուրի,2310
227,Իմերիթական կտոր,450
228,Իշլի Քյուֆթա,550
229,Իշխան Փռում,3630
230,Իշխանի Խորոված Ամբողջական,6195
231,Իտալիանո Հաստ Խմորով,2300
232,Իտալյանո Պիցցա,2236.67
233,Լազանիա Հորթի Մսով,1950
234,Լակոմկա ,650
235,Լահմաջո Պանրով,1045
236,Լահմաջո տավարի,650.14
237,Լահմաջո Տավարի ,770
238,Լանչ Բոքս,250
239,Լավաշ ,118
240,Լավաշ փոքր ,100
241,Լիմոն,432
242,Լիմոնով Թխվածք,800
243,Լոբի Կարմիր Սոուսով,900
244,Լոբով Ապուր,867.86
245,Լոլիկ Ձվածեղ Լանչի,300
246,"Լոլիկի Հյութ Դեգուստո  0,5",451.34
247,"Լոլիկի Հյութ Դեգուստո 0,3",349.45
248,"Լոլիկի Հյութ Դեգուստո Կծու 0,3",345.96
249,"Լոլիկի Հյութ Դեգուստո Կծու 0,5",450
250,Լոլիկով Ձվածեղ,719.32
251,Լոլիկով Ձվածեղ Փոքր Բաժին,400
252,Լոշիկ,80
253,Լոռի Պանիր,550
254,Լցոնած Կարտոֆիլ Բեկոնով,1350
255,Լցոնած Կարտոֆիլ Բեկոնով ,1300
256,Լցոնած Կարտոֆիլ Դասական,1300
257,Լցոնած Կարտոֆիլ Կրծքամսով,1400
258,Լցոնած Կարտոֆիլ Սոուսով,1333.13
259,Լցոնած Կարտոֆիլ Վետչինայով,1300
260,Խաշած Իշխան,1000
261,Խաշած Տավարի Միս,1000
262,Խաչապուրի,500
263,Խաչապուրի Մսով,400
264,Խաչապուրի Փոքր,150
265,Խառչո ,1351.22
266,Խինկալի,300
267,Խինկալի ,385
268,Խինկալի Պանրով,332.29
269,Խինկալի Տապակած,343.89
270,Խմորեղենի Տուփ,80
271,Խնձոր-Գազար Ֆռեշ,950
272,Խնձորի Ֆռեշ,950
273,Խնձորով Աղցան,400
274,Խոզի Ժառկո ,1238.57
275,Խոզի Ժառկո Փոքր Բաժին,750
276,Խոզի Իքիբիր ,1200
277,Խոզի Իքիբիր Հացով ,1200
278,Խոզի Շաուրմա  Թոնրի Հացով,1300
