product,price
Իտալիանո Հաստ Խմորով,2300.00
Իտալյանո Պիցցա,2236.67
Լազանիա Հորթի Մսով,1950.00
Լակոմկա ,650.00
Լահմաջո Պանրով,1045.00
Լահմաջո տավարի,650.14
Լահմաջո Տավարի ,770.00
Լանչ Բոքս,250.00
Լավաշ ,118.00
Լավաշ փոքր ,100.00
Լիմոն,432.00
Լիմոնով Թխվածք,800.00
Լոբի Կարմիր Սոուսով,900.00
Լոբով Ապուր,867.86
Լոլիկ Ձվածեղ Լանչի,300.00
"Լոլիկի Հյութ Դեգուստո  0,5",451.34
"Լոլիկի Հյութ Դեգուստո 0,3",349.45
"Լոլիկի Հյութ Դեգուստո Կծու 0,3",345.96
"Լոլիկի Հյութ Դեգուստո Կծու 0,5",450.00
Լոլիկով Ձվածեղ,719.32
Լոլիկով Ձվածեղ Փոքր Բաժին,400.00
Լոշիկ,80.00
Լոռի Պանիր,550.00
Լցոնած Կարտոֆիլ Բեկոնով,1350.00
Լցոնած Կարտոֆիլ Բեկոնով ,1300.00
Լցոնած Կարտոֆիլ Դասական,1300.00
Լցոնած Կարտոֆիլ Կրծքամսով,1400.00
Լցոնած Կարտոֆիլ Սոուսով,1333.13
Լցոնած Կարտոֆիլ Վետչինայով,1300.00
Խաշած Իշխան,1000.00
Խաշած Տավարի Միս,1000.00
Խաչապուրի,500.00
Խաչապուրի Մսով,400.00
Խաչապուրի Փոքր,150.00
Խառչո ,1351.22
Խինկալի,300.00
Խինկալի ,385.00
Խինկալի Պանրով,332.29
Խինկալի Տապակած,343.89
Խմորեղենի Տուփ,80.00
Խնձոր-Գազար Ֆռեշ,950.00
Խնձորի Ֆռեշ,950.00
Խնձորով Աղցան,400.00
Խոզի Ժառկո ,1238.57
Խոզի Ժառկո Փոքր Բաժին,750.00
Խոզի Իքիբիր ,1200.00
Խոզի Իքիբիր Հացով ,1200.00
Խոզի Շաուրմա  Թոնրի Հացով,1300.00
Խոզի Շաուրմա Բագետ Հացով,1200.00
Խոզի Շնիցել,1100.00
Խոզի Սուկի Բեկոնով,1800.00
Խոտաբույսերով Թեյ,400.00
Խորոված Գառի Մատ,3188.57
Խորոված Գառի Չալաղաջ,3727.78
Խորոված Գառի Փափուկ,2800.00
Խորոված Դդմիկ Սունկ Բիբար,1500.00
Խորոված Թառափ Ամբողջական ,10000.00
Խորոված Թառափ Բաժին,1850.00
Խորոված Թոք ,1000.00
Խորոված Խաչապուրի,1200.00
Խորոված Խոզի Մատ ,3501.61
Խորոված Խոզի Չալաղաջ ,3696.98
Խորոված Խոզի Փափուկ ,3125.24
Խորոված Հավի,2200.00
Խորոված Հավի Ազդր,1700.00
Խորոված Հավի Բուդ ,1700.00
Խորոված Հավի Թևիկ ,1700.00
Խորոված Ճուտ ,1600.00
Խորոված Սիգ,1000.00
Խորոված Սիրտ,1000.00
Խորոված Սմբուկ Սունկ Բիբար,1400.00
Խորոված Սունկ,1100.00
Խորովածի Սոուս,200.00
Խրթխրթան Հավի Թևիկ,
Խրթխրթան Հավի Թևիկ ,1728.00
Ծաղկակաղամբ Փռում,647.06
Ծովախեցգետնով Աղցան,693.33
Ծովախեցգետնով Աղցան  Լանչի,300.00
Կաթ,187.50
Կալզոնե ,1200.00
Կախասնկով Ձվածեղ,750.00
Կակաո,300.00
Կաղամբով աղցան,483.33
Կաղամբով Աղցան  Լանչի,300.00
Կանաչիների Թարմ Փունջ,1058.33
Կապա Մակի,900.00
Կապույտ Ցիտրուս,600.00
Կապրեզե Սթայլ,2530.00
Կարագ,200.00
Կարաս Red 0.75,8800.00
Կարբոնառա Լանչի,300.00
Կարբոնառա Պենե,770.00
Կարբոնառա Պենե Փոքր Բաժին,450.00
Կարկանդակ Խնձորով,150.00
Կարկանդակ Կարտոֆիլով ,200.00
Կարկանդակ Մսով ,280.00
Կարմիր Թավիշ ,750.00
Կարմիր Լոբի Տապակած,400.00
Կարտոֆիլ Խյուս Լանչի,250.00
Կարտոֆիլ Պլեճ ,550.00
Կարտոֆիլ Սարդելկայով,743.75
Կարտոֆիլ Սնկով ,850.00
Կարտոֆիլ Ֆրի,601.43
Կարտոֆիլի Խյուս ,620.94
Կարտոֆիլի Խյուս Կես Բաժին,400.00
Կարտոֆիլի Ճմուռ,800.00
Կարտոֆիլի Ճմուռ Փոքր Բաժին,450.00
Կարտոֆիլի Չիփս,543.53
Կարտոֆիլի պլեճ,660.00
